TAXON_ORDER,CATEGORY,SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,en_IOC,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
2033,species,heisha1,Phalacrocorax nivalis,Heard Island Shag,Heard Island Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2034,species,crosha1,Phalacrocorax melanogenis,Crozet Shag,Crozet Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2035,species,kersha1,Phalacrocorax verrucosus,Kerguelen Shag,Kerguelen Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2036,species,macsha1,Phalacrocorax purpurascens,Macquarie Shag,Macquarie Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2037,species,eursha1,Phalacrocorax aristotelis,European Shag,European Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2038,issf,eursha2,Phalacrocorax aristotelis aristotelis,European Shag (Atlantic),European Shag (Atlantic),Suliformes,Phalacrocoracidae (Cormorants and Shags),,eursha1
2039,issf,eursha3,Phalacrocorax aristotelis desmarestii,European Shag (Mediterranean),European Shag (Mediterranean),Suliformes,Phalacrocoracidae (Cormorants and Shags),,eursha1
2040,issf,eursha4,Phalacrocorax aristotelis riggenbachi,European Shag (Moroccan),European Shag (Moroccan),Suliformes,Phalacrocoracidae (Cormorants and Shags),,eursha1
2040.5,slash,y00769,Phalacrocorax carbo/aristotelis,Great Cormorant/European Shag,Great Cormorant/European Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2041,species,sposha1,Phalacrocorax punctatus,Spotted Shag,Spotted Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2044,species,piisha1,Phalacrocorax featherstoni,Pitt Island Shag,Pitt Shag,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2045,species,lipcor1,Phalacrocorax melanoleucos,Little Pied Cormorant,Little Pied Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2049,species,lotcor1,Phalacrocorax africanus,Long-tailed Cormorant,Reed Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2052,species,crocor1,Phalacrocorax coronatus,Crowned Cormorant,Crowned Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2053,species,litcor1,Phalacrocorax niger,Little Cormorant,Little Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2053.5,slash,y00770,Phalacrocorax fuscicollis/niger,Indian/Little Cormorant,Indian/Little Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2054,species,pygcor2,Phalacrocorax pygmeus,Pygmy Cormorant,Pygmy Cormorant,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2055,spuh,cormor1,Phalacrocorax sp.,cormorant sp.,cormorant sp.,Suliformes,Phalacrocoracidae (Cormorants and Shags),,
2056,species,anhing,Anhinga anhinga,Anhinga,Anhinga,Suliformes,Anhingidae (Anhingas),,
2060,species,darter3,Anhinga rufa,African Darter,African Darter,Suliformes,Anhingidae (Anhingas),,
2062,species,darter2,Anhinga melanogaster,Oriental Darter,Oriental Darter,Suliformes,Anhingidae (Anhingas),,
2063,species,darter4,Anhinga novaehollandiae,Australasian Darter,Australasian Darter,Suliformes,Anhingidae (Anhingas),,
2069,species,amwpel,Pelecanus erythrorhynchos,American White Pelican,American White Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2070,species,brnpel,Pelecanus occidentalis,Brown Pelican,Brown Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2072,issf,brnpel2,Pelecanus occidentalis carolinensis,Brown Pelican (Atlantic),Brown Pelican (Atlantic),Pelecaniformes,Pelecanidae (Pelicans),,brnpel
2073,issf,brnpel3,Pelecanus occidentalis californicus,Brown Pelican (California),Brown Pelican (California),Pelecaniformes,Pelecanidae (Pelicans),,brnpel
2073.1,issf,brnpel1,Pelecanus occidentalis [occidentalis Group],Brown Pelican (Southern),Brown Pelican (Southern),Pelecaniformes,Pelecanidae (Pelicans),,brnpel
2074,species,perpel1,Pelecanus thagus,Peruvian Pelican,Peruvian Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2074.2,species,grwpel1,Pelecanus onocrotalus,Great White Pelican,Great White Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2074.3,species,auspel1,Pelecanus conspicillatus,Australian Pelican,Australian Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2074.4,species,pibpel1,Pelecanus rufescens,Pink-backed Pelican,Pink-backed Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2074.6,species,spbpel1,Pelecanus philippensis,Spot-billed Pelican,Spot-billed Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2074.7,species,dalpel1,Pelecanus crispus,Dalmatian Pelican,Dalmatian Pelican,Pelecaniformes,Pelecanidae (Pelicans),,
2074.9,spuh,pelica1,Pelecanus sp.,pelican sp.,pelican sp.,Pelecaniformes,Pelecanidae (Pelicans),,
2075,species,shoebi1,Balaeniceps rex,Shoebill,Shoebill,Pelecaniformes,Balaenicipitidae (Shoebill),Shoebill and Hammerkop,
2076,species,hamerk1,Scopus umbretta,Hamerkop,Hamerkop,Pelecaniformes,Scopidae (Hamerkop),,
2078,species,pinbit1,Botaurus pinnatus,Pinnated Bittern,Pinnated Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)","Herons, Ibis, and Allies",
2081,species,amebit,Botaurus lentiginosus,American Bittern,American Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2082,species,grebit1,Botaurus stellaris,Great Bittern,Eurasian Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2085,species,ausbit1,Botaurus poiciloptilus,Australasian Bittern,Australasian Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2086,species,zigher1,Zebrilus undulatus,Zigzag Heron,Zigzag Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2087,species,yelbit,Ixobrychus sinensis,Yellow Bittern,Yellow Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2088,species,litbit1,Ixobrychus minutus,Little Bittern,Little Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2089,issf,litbit2,Ixobrychus minutus minutus,Little Bittern (Little),Little Bittern (Little),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,litbit1
2090,issf,litbit3,Ixobrychus minutus payesii,Little Bittern (African),Little Bittern (African),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,litbit1
2091,issf,litbit4,Ixobrychus minutus podiceps,Little Bittern (Malagasy),Little Bittern (Malagasy),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,litbit1
2092,species,bkbbit1,Ixobrychus dubius,Black-backed Bittern,Black-backed Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2093,species,nezbit1,Ixobrychus novaezelandiae,New Zealand Bittern,New Zealand Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2094,species,schbit1,Ixobrychus eurhythmus,Schrenck's Bittern,Von Schrenck's Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2095,species,cinbit1,Ixobrychus cinnamomeus,Cinnamon Bittern,Cinnamon Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2096,species,dwabit1,Ixobrychus sturmii,Dwarf Bittern,Dwarf Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2097,species,blabit1,Ixobrychus flavicollis,Black Bittern,Black Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2101,species,leabit,Ixobrychus exilis,Least Bittern,Least Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2107,species,stbbit1,Ixobrychus involucris,Stripe-backed Bittern,Stripe-backed Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2107.5,spuh,smabit1,Ixobrychus sp.,small bittern sp.,small bittern sp.,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2108,species,ruther1,Tigrisoma lineatum,Rufescent Tiger-Heron,Rufescent Tiger Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2111,species,father1,Tigrisoma fasciatum,Fasciated Tiger-Heron,Fasciated Tiger Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2115,species,btther1,Tigrisoma mexicanum,Bare-throated Tiger-Heron,Bare-throated Tiger Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2115.5,spuh,tiger-1,Tigrisoma sp.,tiger-heron sp.,tiger heron sp.,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2116,species,forbit1,Zonerodius heliosylus,Forest Bittern,Forest Bittern,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2117,species,whcbit1,Tigriornis leucolopha,White-crested Bittern,White-crested Tiger Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2118,species,grbher3,Ardea herodias,Great Blue Heron,Great Blue Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2119,issf,grbher,Ardea herodias [herodias Group],Great Blue Heron (Blue form),Great Blue Heron (Blue form),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,grbher3
2123,issf,grwher,Ardea herodias occidentalis,Great Blue Heron (White form),Great Blue Heron (White form),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,grbher3
2124,form,wurher,Ardea herodias (Wurdemann's),Great Blue Heron (Wurdemann's),Great Blue Heron (Wurdemann's),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,grbher3
2126,species,graher1,Ardea cinerea,Gray Heron,Grey Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2128,issf,gryher1,Ardea cinerea cinerea/jouyi,Gray Heron (Gray),Grey Heron (Grey),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,graher1
2129,issf,gryher3,Ardea cinerea firasa,Gray Heron (Malagasy),Grey Heron (Malagasy),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,graher1
2130,issf,gryher2,Ardea cinerea monicae,Gray Heron (Mauritanian),Grey Heron (Mauritanian),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,graher1
2131,species,cocher1,Ardea cocoi,Cocoi Heron,Cocoi Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2131.2,hybrid,x00784,Ardea herodias x cocoi,Great Blue x Cocoi Heron (hybrid),Great Blue x Cocoi Heron (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2131.4,slash,y00834,Ardea herodias/cocoi,Great Blue/Cocoi Heron,Great Blue/Cocoi Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2132,species,pacher1,Ardea pacifica,Pacific Heron,White-necked Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2133,species,blhher1,Ardea melanocephala,Black-headed Heron,Black-headed Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2134,species,humher1,Ardea humbloti,Humblot's Heron,Humblot's Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2135,species,whbher2,Ardea insignis,White-bellied Heron,White-bellied Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2136,species,grbher2,Ardea sumatrana,Great-billed Heron,Great-billed Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2139,species,golher1,Ardea goliath,Goliath Heron,Goliath Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2140,species,purher1,Ardea purpurea,Purple Heron,Purple Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2140.2,issf,purher2,Ardea purpurea bournei,Purple Heron (Bourne's),Purple Heron (Bourne's),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,purher1
2140.4,issf,purher3,Ardea purpurea [purpurea Group],Purple Heron (Purple),Purple Heron (Purple),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,purher1
2144,species,greegr,Ardea alba,Great Egret,Great Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2145,issf,greegr1,Ardea alba alba,Great Egret (Eurasian),Great Egret (Eurasian),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,greegr
2146,issf,greegr4,Ardea alba melanorhynchos,Great Egret (African),Great Egret (African),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,greegr
2147,issf,greegr2,Ardea alba egretta,Great Egret (American),Great Egret (American),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,greegr
2148,issf,greegr3,Ardea alba modesta,Great Egret (Australasian),Great Egret (Australasian),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,greegr
2148.5,hybrid,x00677,Ardea herodias x alba,Great Blue Heron x Great Egret (hybrid),Great Blue Heron x Great Egret (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2149,spuh,ardea1,Ardea sp.,Ardea sp.,Ardea sp.,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2150,species,integr,Mesophoyx intermedia,Intermediate Egret,Intermediate Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2150.2,issf,integr1,Mesophoyx intermedia intermedia,Intermediate Egret (Intermediate),Intermediate Egret (Intermediate),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,integr
2150.4,issf,integr2,Mesophoyx intermedia plumifera,Intermediate Egret (Plumed),Intermediate Egret (Plumed),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,integr
2150.6,issf,integr3,Mesophoyx intermedia brachyrhyncha,Intermediate Egret (Yellow-billed),Intermediate Egret (Yellow-billed),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,integr
2153.5,slash,y00717,Ardea alba/Mesophoyx intermedia,Great/Intermediate Egret,Great/Intermediate Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2154,species,whfher1,Egretta novaehollandiae,White-faced Heron,White-faced Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2157,species,chiegr,Egretta eulophotes,Chinese Egret,Chinese Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2158,species,litegr,Egretta garzetta,Little Egret,Little/Dimorphic Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2160,issf,litegr1,Egretta garzetta [garzetta Group],Little Egret (Little),Little Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,litegr
2162,issf,litegr2,Egretta garzetta dimorpha,Little Egret (Dimorphic),Dimorphic Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,litegr
2163,species,werher,Egretta gularis,Western Reef-Heron,Western Reef Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2164,issf,wesreh1,Egretta gularis gularis,Western Reef-Heron (Western),Western Reef Heron (Western),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,werher
2165,issf,wesreh2,Egretta gularis schistacea,Western Reef-Heron (Eastern),Western Reef Heron (Eastern),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,werher
2165.5,hybrid,x00656,Egretta garzetta x gularis,Little Egret x Western Reef-Heron (hybrid),Little Egret x Western Reef Heron (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2165.7,slash,y00835,Egretta garzetta/gularis,Little Egret/Western Reef-Heron,Little Egret/Western Reef Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2166,species,pacreh1,Egretta sacra,Pacific Reef-Heron,Pacific Reef Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2169,species,snoegr,Egretta thula,Snowy Egret,Snowy Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2172,hybrid,x00697,Egretta garzetta x thula,Little Egret x Snowy Egret (hybrid),Little Egret x Snowy Egret (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2173,species,libher,Egretta caerulea,Little Blue Heron,Little Blue Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2173.5,hybrid,x00615,Egretta thula x caerulea,Snowy Egret x Little Blue Heron (hybrid),Snowy Egret x Little Blue Heron (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2174,species,triher,Egretta tricolor,Tricolored Heron,Tricolored Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2176.3,hybrid,x00730,Egretta thula x tricolor,Snowy Egret x Tricolored Heron (hybrid),Snowy Egret x Tricolored Heron (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2176.5,hybrid,x00696,Egretta caerulea x tricolor,Little Blue x Tricolored Heron (hybrid),Little Blue x Tricolored Heron (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2177,species,redegr,Egretta rufescens,Reddish Egret,Reddish Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2177.2,hybrid,x00785,Egretta tricolor x rufescens,Tricolored Heron x Reddish Egret (hybrid),Tricolored Heron x Reddish Egret (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2180,species,pieher2,Egretta picata,Pied Heron,Pied Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2181,species,slaegr1,Egretta vinaceigula,Slaty Egret,Slaty Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2182,species,blaher1,Egretta ardesiaca,Black Heron,Black Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2183,species,categr,Bubulcus ibis,Cattle Egret,Western/Eastern Cattle Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2184,issf,categr1,Bubulcus ibis ibis,Cattle Egret (Western),Western Cattle Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,categr
2185,issf,categr2,Bubulcus ibis coromandus,Cattle Egret (Eastern),Eastern Cattle Egret,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,categr
2187,spuh,whiegr1,Egretta/Bubulcus sp.,white egret sp.,white egret sp.,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2188,species,squher1,Ardeola ralloides,Squacco Heron,Squacco Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2189,species,inpher1,Ardeola grayii,Indian Pond-Heron,Indian Pond Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2190,species,chpher1,Ardeola bacchus,Chinese Pond-Heron,Chinese Pond Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2191,species,japher1,Ardeola speciosa,Javan Pond-Heron,Javan Pond Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2194,species,mapher1,Ardeola idae,Madagascar Pond-Heron,Malagasy Pond Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2195,species,rubher2,Ardeola rufiventris,Rufous-bellied Heron,Rufous-bellied Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2195.5,spuh,pond-h1,Ardeola sp.,pond-heron sp.,pond heron sp.,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2196,species,grnher,Butorides virescens,Green Heron,Green Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2197,issf,grnher1,Butorides virescens virescens/bahamensis,Green Heron (virescens/bahamensis),Green Heron (virescens/bahamensis),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,grnher
2198,issf,grnher2,Butorides virescens anthonyi,Green Heron (anthonyi),Green Heron (anthonyi),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,grnher
2199,issf,grnher3,Butorides virescens frazari,Green Heron (frazari),Green Heron (frazari),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,grnher
2201,species,strher,Butorides striata,Striated Heron,Striated Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2202,issf,strher2,Butorides striata striata,Striated Heron (South American),Striated Heron (South American),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,strher
2203,issf,strher3,Butorides striata sundevalli,Striated Heron (Galapagos),Lava Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,strher
2204,issf,strher1,Butorides striata [atricapilla Group],Striated Heron (Old World),Striated Heron (Old World),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,strher
2227.3,hybrid,x00765,Butorides virescens x striata,Green x Striated Heron (hybrid),Green x Striated Heron (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2227.6,slash,y00771,Butorides virescens/striata,Green/Striated Heron,Green/Striated Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2228,species,agaher1,Agamia agami,Agami Heron,Agami Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2229,species,whiher1,Syrigma sibilatrix,Whistling Heron,Whistling Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2232,species,capher1,Pilherodius pileatus,Capped Heron,Capped Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2233,species,bcnher,Nycticorax nycticorax,Black-crowned Night-Heron,Black-crowned Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2234,issf,bkcnih1,Nycticorax nycticorax nycticorax,Black-crowned Night-Heron (Eurasian),Black-crowned Night Heron (Eurasian),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,bcnher
2235,issf,bkcnih2,Nycticorax nycticorax hoactli,Black-crowned Night-Heron (American),Black-crowned Night Heron (American),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,bcnher
2236,issf,bkcnih4,Nycticorax nycticorax obscurus,Black-crowned Night-Heron (Dusky),Black-crowned Night Heron (Dusky),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,bcnher
2237,issf,bkcnih3,Nycticorax nycticorax falklandicus,Black-crowned Night-Heron (Falklands),Black-crowned Night Heron (Falklands),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,bcnher
2238,species,runher1,Nycticorax caledonicus,Rufous Night-Heron,Nankeen Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2244,species,ycnher,Nyctanassa violacea,Yellow-crowned Night-Heron,Yellow-crowned Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2244.5,issf,yecnih1,Nyctanassa violacea [violacea Group],Yellow-crowned Night-Heron (Yellow-crowned),Yellow-crowned Night Heron (Yellow-crowned),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,ycnher
2250.3,issf,yecnih2,Nyctanassa violacea pauper,Yellow-crowned Night-Heron (Galapagos),Yellow-crowned Night Heron (Galapagos),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,ycnher
2250.6,hybrid,x00704,Nycticorax nycticorax x Nyctanassa violacea,Black-crowned x Yellow-crowned Night-Heron (hybrid),Black-crowned x Yellow-crowned Night Heron (hybrid),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2251,slash,y00610,Nycticorax nycticorax/Nyctanassa violacea,Black-crowned/Yellow-crowned Night-Heron,Black-crowned/Yellow-crowned Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2252,species,wbnher1,Gorsachius leuconotus,White-backed Night-Heron,White-backed Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2253,species,wenher1,Gorsachius magnificus,White-eared Night-Heron,White-eared Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2254,species,janher1,Gorsachius goisagi,Japanese Night-Heron,Japanese Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2255,species,manher1,Gorsachius melanolophus,Malayan Night-Heron,Malayan Night Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2256,species,bobher1,Cochlearius cochlearius,Boat-billed Heron,Boat-billed Heron,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2257,issf,bobher3,Cochlearius cochlearius [zeledoni Group],Boat-billed Heron (Northern),Boat-billed Heron (Northern),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,bobher1
2261,issf,bobher4,Cochlearius cochlearius cochlearius/panamensis,Boat-billed Heron (Southern),Boat-billed Heron (Southern),Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,bobher1
2264,spuh,heron1,Ardeidae sp.,heron sp.,heron sp.,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",,
2265,species,whiibi,Eudocimus albus,White Ibis,American White Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2267,species,scaibi,Eudocimus ruber,Scarlet Ibis,Scarlet Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2267.5,hybrid,x00428,Eudocimus albus x ruber,White x Scarlet Ibis (hybrid),White x Scarlet Ibis (hybrid),Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2268,species,gloibi,Plegadis falcinellus,Glossy Ibis,Glossy Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2270,species,whfibi,Plegadis chihi,White-faced Ibis,White-faced Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2270.5,hybrid,gxwibi1,Plegadis falcinellus x chihi,Glossy x White-faced Ibis (hybrid),Glossy x White-faced Ibis (hybrid),Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2271,slash,plegad,Plegadis falcinellus/chihi,Glossy/White-faced Ibis,Glossy/White-faced Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2272,species,punibi1,Plegadis ridgwayi,Puna Ibis,Puna Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2272.2,slash,y00836,Plegadis chihi/ridgwayi,White-faced/Puna Ibis,White-faced/Puna Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2273,species,madibi1,Lophotibis cristata,Madagascar Ibis,Madagascan Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2276,species,shtibi1,Cercibis oxycerca,Sharp-tailed Ibis,Sharp-tailed Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2277,species,greibi1,Mesembrinibis cayennensis,Green Ibis,Green Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2278,species,bafibi1,Phimosus infuscatus,Bare-faced Ibis,Bare-faced Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
2282,species,pluibi1,Theristicus caerulescens,Plumbeous Ibis,Plumbeous Ibis,Pelecaniformes,Threskiornithidae (Ibises and Spoonbills),,
